"grouping","modification","site","activity","year","value","comments","data.source","non_wetting","acidic","physical","nutrient","rainfall_mean_annual","site_numb"
"Spade non organic","Spade","Karoonda","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","red","orange",339,25006
"Spade none","Spade","Karoonda","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","red","orange",339,25006
"Spade plant","Spade","Karoonda","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","red","orange",339,25006
"Unmodified fertiliser","Unmodified","Karoonda","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","red","orange",339,25006
"Unmodified mixed","Unmodified","Karoonda","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","red","orange",339,25006
"Unmodified non organic","Unmodified","Karoonda","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","red","orange",339,25006
"Control","Unmodified","Kooloonong_canola","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",323,49002
"Rip animal","Rip","Kooloonong_canola","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",323,49002
"Rip none","Rip","Kooloonong_canola","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",323,49002
"Unmodified animal","Unmodified","Kooloonong_canola","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",323,49002
"Control","Unmodified","Kooloonong_chickpea","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",323,49002
"Rip animal","Rip","Kooloonong_chickpea","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",323,49002
"Rip none","Rip","Kooloonong_chickpea","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",323,49002
"Unmodified animal","Unmodified","Kooloonong_chickpea","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",323,49002
"Control","Unmodified","Kooloonong_lentil","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",323,49002
"Rip animal","Rip","Kooloonong_lentil","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",323,49002
"Rip none","Rip","Kooloonong_lentil","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",323,49002
"Unmodified animal","Unmodified","Kooloonong_lentil","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",323,49002
"Control","Unmodified","Kooloonong_lupin","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",323,49002
"Rip animal","Rip","Kooloonong_lupin","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",323,49002
"Rip none","Rip","Kooloonong_lupin","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",323,49002
"Unmodified animal","Unmodified","Kooloonong_lupin","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",323,49002
"Control","Unmodified","Kybunga","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","green",634,21014
"Rip animal","Rip","Kybunga","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","green",634,21014
"Rip none","Rip","Kybunga","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","green",634,21014
"Spade animal","Spade","Kybunga","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","green",634,21014
"Spade none","Spade","Kybunga","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","green",634,21014
"Control","Unmodified","Lowaldie_Crest","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","red","red",310,25039
"Rip none","Rip","Lowaldie_Crest","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","red","red",310,25039
"Control","Unmodified","Lowaldie_Deep sand","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","red","red",310,25039
"Rip none","Rip","Lowaldie_Deep sand","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","red","red",310,25039
"Control","Unmodified","Malinong","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","orange","orange","green",458,25508
"DiscInv none","DiscInv","Malinong","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","orange","orange","green",458,25508
"Rip none","Rip","Malinong","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","orange","orange","green",458,25508
"Spade none","Spade","Malinong","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","orange","orange","green",458,25508
"Control","Unmodified","Monia_Gap","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",372,75032
"Rip+Spade none","Rip+Spade","Monia_Gap","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",372,75032
"Spade animal","Spade","Monia_Gap","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",372,75032
"Spade mixed","Spade","Monia_Gap","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",372,75032
"Spade non organic","Spade","Monia_Gap","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",372,75032
"Spade none","Spade","Monia_Gap","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",372,75032
"Control","Unmodified","Mt Damper","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","orange",327,18052
"IncRip fertiliser","IncRip","Mt Damper","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","orange",327,18052
"IncRip none","IncRip","Mt Damper","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","orange",327,18052
"IncRip+Spade none","IncRip+Spade","Mt Damper","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","orange",327,18052
"Spade none","Spade","Mt Damper","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","orange",327,18052
"Control","Unmodified","Murlong","cost harvesting and handling extra grain $/t",3,0,NA,"guess","red","green","red","red",331,18164
"Rip fertiliser","Rip","Murlong","cost harvesting and handling extra grain $/t",3,0,NA,"guess","red","green","red","red",331,18164
"Rip none","Rip","Murlong","cost harvesting and handling extra grain $/t",3,0,NA,"guess","red","green","red","red",331,18164
"Rip plant","Rip","Murlong","cost harvesting and handling extra grain $/t",3,0,NA,"guess","red","green","red","red",331,18164
"Spade fertiliser","Spade","Murlong","cost harvesting and handling extra grain $/t",3,0,NA,"guess","red","green","red","red",331,18164
"Spade none","Spade","Murlong","cost harvesting and handling extra grain $/t",3,0,NA,"guess","red","green","red","red",331,18164
"Spade plant","Spade","Murlong","cost harvesting and handling extra grain $/t",3,0,NA,"guess","red","green","red","red",331,18164
"Control","Unmodified","Ouyen_Placement","cost harvesting and handling extra grain $/t",3,0,NA,"guess",NA,NA,NA,NA,328,76047
"PreDrill fertiliser","PreDrill","Ouyen_Placement","cost harvesting and handling extra grain $/t",3,0,NA,"guess",NA,NA,NA,NA,328,76047
"PreDrill none","PreDrill","Ouyen_Placement","cost harvesting and handling extra grain $/t",3,0,NA,"guess",NA,NA,NA,NA,328,76047
"Rip fertiliser","Rip","Ouyen_Placement","cost harvesting and handling extra grain $/t",3,0,NA,"guess",NA,NA,NA,NA,328,76047
"Rip none","Rip","Ouyen_Placement","cost harvesting and handling extra grain $/t",3,0,NA,"guess",NA,NA,NA,NA,328,76047
"Unmodified none","Unmodified","Ouyen_Placement","cost harvesting and handling extra grain $/t",3,0,NA,"guess",NA,NA,NA,NA,328,76047
"Control","Unmodified","Ouyen_Spade","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","red","red",328,76047
"Spade animal","Spade","Ouyen_Spade","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","red","red",328,76047
"Spade fertiliser","Spade","Ouyen_Spade","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","red","red",328,76047
"Spade none","Spade","Ouyen_Spade","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","red","red",328,76047
"Spade plant","Spade","Ouyen_Spade","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","red","red",328,76047
"Control","Unmodified","Sherwood","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",459,25507
"Rip fertiliser","Rip","Sherwood","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",459,25507
"Rip none","Rip","Sherwood","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",459,25507
"Spade fertiliser","Spade","Sherwood","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",459,25507
"Spade none","Spade","Sherwood","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","orange",459,25507
"Control","Unmodified","Telopea_Downs","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","green",496,78034
"Spade non organic","Spade","Telopea_Downs","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","orange","green",496,78034
"Control","Unmodified","Tempy","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","orange",328,76047
"IncRip animal","IncRip","Tempy","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","orange",328,76047
"IncRip none","IncRip","Tempy","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","orange",328,76047
"Rip animal","Rip","Tempy","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","orange",328,76047
"Rip none","Rip","Tempy","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","orange",328,76047
"Control","Unmodified","Waikerie","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","red","orange",276,24029
"Rip animal","Rip","Waikerie","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","red","orange",276,24029
"Rip fertiliser","Rip","Waikerie","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","red","orange",276,24029
"Rip none","Rip","Waikerie","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","red","orange",276,24029
"Unmodified animal","Unmodified","Waikerie","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","red","orange",276,24029
"Unmodified fertiliser","Unmodified","Waikerie","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","green","red","orange",276,24029
"Control","Unmodified","Warnertown","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","green",374,21102
"DiscInv none","DiscInv","Warnertown","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","green",374,21102
"IncRip none","IncRip","Warnertown","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","green",374,21102
"Rip none","Rip","Warnertown","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","green",374,21102
"Spade none","Spade","Warnertown","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","green",374,21102
"Control","Unmodified","Wynarka","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","orange",339,25006
"IncRip none","IncRip","Wynarka","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","orange",339,25006
"IncRip+Spade none","IncRip+Spade","Wynarka","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","orange",339,25006
"Rip none","Rip","Wynarka","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","orange",339,25006
"Rip+Spade none","Rip+Spade","Wynarka","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","orange",339,25006
"Spade none","Spade","Wynarka","cost harvesting and handling extra grain $/t",3,0,NA,"guess","orange","green","orange","orange",339,25006
"Control","Unmodified","Yenda","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","red","red","red",420,75079
"Rip none","Rip","Yenda","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","red","red","red",420,75079
"Sweep animal","Sweep","Yenda","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","red","red","red",420,75079
"Sweep mixed","Sweep","Yenda","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","red","red","red",420,75079
"Sweep non organic","Sweep","Yenda","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","red","red","red",420,75079
"Sweep none","Sweep","Yenda","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","red","red","red",420,75079
"Unmodified animal","Unmodified","Yenda","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","red","red","red",420,75079
"Unmodified fertiliser","Unmodified","Yenda","cost harvesting and handling extra grain $/t",3,0,NA,"guess","green","red","red","red",420,75079
"Control","Unmodified","Younghusband","cost harvesting and handling extra grain $/t",3,0,NA,"guess","red","green","red","red",295,24517
"IncRip none","IncRip","Younghusband","cost harvesting and handling extra grain $/t",3,0,NA,"guess","red","green","red","red",295,24517
"Rip none","Rip","Younghusband","cost harvesting and handling extra grain $/t",3,0,NA,"guess","red","green","red","red",295,24517
"Spade none","Spade","Younghusband","cost harvesting and handling extra grain $/t",3,0,NA,"guess","red","green","red","red",295,24517
"Unmodified non organic","Unmodified","Younghusband","cost harvesting and handling extra grain $/t",3,0,NA,"guess","red","green","red","red",295,24517
"Unmodified none","Unmodified","Younghusband","cost harvesting and handling extra grain $/t",3,0,NA,"guess","red","green","red","red",295,24517
"Unmodified+OnRow none","Unmodified+OnRow","Younghusband","cost harvesting and handling extra grain $/t",3,0,NA,"guess","red","green","red","red",295,24517
"Control","Unmodified","Brimpton Lake","additional costs ($/ha)",4,0,NA,"guess","orange","orange","red","orange",409,18099
"Spade fertiliser","Spade","Brimpton Lake","additional costs ($/ha)",4,0,NA,"guess","orange","orange","red","orange",409,18099
"Spade mixed","Spade","Brimpton Lake","additional costs ($/ha)",4,0,NA,"guess","orange","orange","red","orange",409,18099
"Spade non organic","Spade","Brimpton Lake","additional costs ($/ha)",4,0,NA,"guess","orange","orange","red","orange",409,18099
"Spade none","Spade","Brimpton Lake","additional costs ($/ha)",4,0,NA,"guess","orange","orange","red","orange",409,18099
"Spade plant","Spade","Brimpton Lake","additional costs ($/ha)",4,0,NA,"guess","orange","orange","red","orange",409,18099
"Unmodified fertiliser","Unmodified","Brimpton Lake","additional costs ($/ha)",4,0,NA,"guess","orange","orange","red","orange",409,18099
"Unmodified mixed","Unmodified","Brimpton Lake","additional costs ($/ha)",4,0,NA,"guess","orange","orange","red","orange",409,18099
"Unmodified non organic","Unmodified","Brimpton Lake","additional costs ($/ha)",4,0,NA,"guess","orange","orange","red","orange",409,18099
"Control","Unmodified","Brooker","additional costs ($/ha)",4,0,NA,"guess","red","green","orange","red",409,18099
"Spade fertiliser","Spade","Brooker","additional costs ($/ha)",4,0,NA,"guess","red","green","orange","red",409,18099
"Spade mixed","Spade","Brooker","additional costs ($/ha)",4,0,NA,"guess","red","green","orange","red",409,18099
"Spade none","Spade","Brooker","additional costs ($/ha)",4,0,NA,"guess","red","green","orange","red",409,18099
"Spade plant","Spade","Brooker","additional costs ($/ha)",4,0,NA,"guess","red","green","orange","red",409,18099
"Unmodified fertiliser","Unmodified","Brooker","additional costs ($/ha)",4,0,NA,"guess","red","green","orange","red",409,18099
"Control","Unmodified","Buckleboo","additional costs ($/ha)",4,0,NA,"guess","green","green","red","orange",346,18040
"IncRip fertiliser","IncRip","Buckleboo","additional costs ($/ha)",4,0,NA,"guess","green","green","red","orange",346,18040
"IncRip none","IncRip","Buckleboo","additional costs ($/ha)",4,0,NA,"guess","green","green","red","orange",346,18040
"Rip none","Rip","Buckleboo","additional costs ($/ha)",4,0,NA,"guess","green","green","red","orange",346,18040
"Control","Unmodified","Bute_CSIRO","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","red",394,21012
"IncRip animal","IncRip","Bute_CSIRO","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","red",394,21012
"IncRip none","IncRip","Bute_CSIRO","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","red",394,21012
"Rip animal","Rip","Bute_CSIRO","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","red",394,21012
"Rip none","Rip","Bute_CSIRO","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","red",394,21012
"Unmodified animal","Unmodified","Bute_CSIRO","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","red",394,21012
"Control","Unmodified","Bute_Trengrove","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","red",394,21012
"Rip animal","Rip","Bute_Trengrove","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","red",394,21012
"Rip fertiliser","Rip","Bute_Trengrove","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","red",394,21012
"Rip mixed","Rip","Bute_Trengrove","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","red",394,21012
"Rip non organic","Rip","Bute_Trengrove","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","red",394,21012
"Rip none","Rip","Bute_Trengrove","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","red",394,21012
"Unmodified animal","Unmodified","Bute_Trengrove","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","red",394,21012
"Unmodified fertiliser","Unmodified","Bute_Trengrove","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","red",394,21012
"Unmodified mixed","Unmodified","Bute_Trengrove","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","red",394,21012
"Unmodified non organic","Unmodified","Bute_Trengrove","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","red",394,21012
"Control","Unmodified","Cadgee","additional costs ($/ha)",4,0,NA,"guess","red","red","green","red",559,26015
"Spade fertiliser","Spade","Cadgee","additional costs ($/ha)",4,0,NA,"guess","red","red","green","red",559,26015
"Spade mixed","Spade","Cadgee","additional costs ($/ha)",4,0,NA,"guess","red","red","green","red",559,26015
"Spade non organic","Spade","Cadgee","additional costs ($/ha)",4,0,NA,"guess","red","red","green","red",559,26015
"Spade none","Spade","Cadgee","additional costs ($/ha)",4,0,NA,"guess","red","red","green","red",559,26015
"Spade plant","Spade","Cadgee","additional costs ($/ha)",4,0,NA,"guess","red","red","green","red",559,26015
"Unmodified fertiliser","Unmodified","Cadgee","additional costs ($/ha)",4,0,NA,"guess","red","red","green","red",559,26015
"Unmodified mixed","Unmodified","Cadgee","additional costs ($/ha)",4,0,NA,"guess","red","red","green","red",559,26015
"Unmodified non organic","Unmodified","Cadgee","additional costs ($/ha)",4,0,NA,"guess","red","red","green","red",559,26015
"Control","Unmodified","Carwarp_Amelioration","additional costs ($/ha)",4,0,NA,"guess","green","green","red","red",287,76052
"Rip none","Rip","Carwarp_Amelioration","additional costs ($/ha)",4,0,NA,"guess","green","green","red","red",287,76052
"Rip plant","Rip","Carwarp_Amelioration","additional costs ($/ha)",4,0,NA,"guess","green","green","red","red",287,76052
"Rip+Spade none","Rip+Spade","Carwarp_Amelioration","additional costs ($/ha)",4,0,NA,"guess","green","green","red","red",287,76052
"Rip+Spade plant","Rip+Spade","Carwarp_Amelioration","additional costs ($/ha)",4,0,NA,"guess","green","green","red","red",287,76052
"Spade none","Spade","Carwarp_Amelioration","additional costs ($/ha)",4,0,NA,"guess","green","green","red","red",287,76052
"Spade plant","Spade","Carwarp_Amelioration","additional costs ($/ha)",4,0,NA,"guess","green","green","red","red",287,76052
"Unmodified plant","Unmodified","Carwarp_Amelioration","additional costs ($/ha)",4,0,NA,"guess","green","green","red","red",287,76052
"Control","Unmodified","Cummins","additional costs ($/ha)",4,0,NA,"guess","green","orange","red","orange",422,18023
"IncRip non organic","IncRip","Cummins","additional costs ($/ha)",4,0,NA,"guess","green","orange","red","orange",422,18023
"IncRip none","IncRip","Cummins","additional costs ($/ha)",4,0,NA,"guess","green","orange","red","orange",422,18023
"Rip none","Rip","Cummins","additional costs ($/ha)",4,0,NA,"guess","green","orange","red","orange",422,18023
"Control","Unmodified","Karkoo","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",409,18099
"IncRip none","IncRip","Karkoo","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",409,18099
"IncRip plant","IncRip","Karkoo","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",409,18099
"Rip none","Rip","Karkoo","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",409,18099
"Control","Unmodified","Karoonda","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","orange",339,25006
"Spade fertiliser","Spade","Karoonda","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","orange",339,25006
"Spade mixed","Spade","Karoonda","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","orange",339,25006
"Spade non organic","Spade","Karoonda","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","orange",339,25006
"Spade none","Spade","Karoonda","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","orange",339,25006
"Spade plant","Spade","Karoonda","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","orange",339,25006
"Unmodified fertiliser","Unmodified","Karoonda","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","orange",339,25006
"Unmodified mixed","Unmodified","Karoonda","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","orange",339,25006
"Unmodified non organic","Unmodified","Karoonda","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","orange",339,25006
"Control","Unmodified","Kooloonong_canola","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",323,49002
"Rip animal","Rip","Kooloonong_canola","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",323,49002
"Rip none","Rip","Kooloonong_canola","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",323,49002
"Unmodified animal","Unmodified","Kooloonong_canola","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",323,49002
"Control","Unmodified","Kooloonong_chickpea","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",323,49002
"Rip animal","Rip","Kooloonong_chickpea","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",323,49002
"Rip none","Rip","Kooloonong_chickpea","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",323,49002
"Unmodified animal","Unmodified","Kooloonong_chickpea","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",323,49002
"Control","Unmodified","Kooloonong_lentil","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",323,49002
"Rip animal","Rip","Kooloonong_lentil","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",323,49002
"Rip none","Rip","Kooloonong_lentil","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",323,49002
"Unmodified animal","Unmodified","Kooloonong_lentil","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",323,49002
"Control","Unmodified","Kooloonong_lupin","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",323,49002
"Rip animal","Rip","Kooloonong_lupin","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",323,49002
"Rip none","Rip","Kooloonong_lupin","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",323,49002
"Unmodified animal","Unmodified","Kooloonong_lupin","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",323,49002
"Control","Unmodified","Kybunga","additional costs ($/ha)",4,0,NA,"guess","orange","green","orange","green",634,21014
"Rip animal","Rip","Kybunga","additional costs ($/ha)",4,0,NA,"guess","orange","green","orange","green",634,21014
"Rip none","Rip","Kybunga","additional costs ($/ha)",4,0,NA,"guess","orange","green","orange","green",634,21014
"Spade animal","Spade","Kybunga","additional costs ($/ha)",4,0,NA,"guess","orange","green","orange","green",634,21014
"Spade none","Spade","Kybunga","additional costs ($/ha)",4,0,NA,"guess","orange","green","orange","green",634,21014
"Control","Unmodified","Lowaldie_Crest","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","red",310,25039
"Rip none","Rip","Lowaldie_Crest","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","red",310,25039
"Control","Unmodified","Lowaldie_Deep sand","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","red",310,25039
"Rip none","Rip","Lowaldie_Deep sand","additional costs ($/ha)",4,0,NA,"guess","orange","green","red","red",310,25039
"Control","Unmodified","Malinong","additional costs ($/ha)",4,0,NA,"guess","orange","orange","orange","green",458,25508
"DiscInv none","DiscInv","Malinong","additional costs ($/ha)",4,0,NA,"guess","orange","orange","orange","green",458,25508
"Rip none","Rip","Malinong","additional costs ($/ha)",4,0,NA,"guess","orange","orange","orange","green",458,25508
"Spade none","Spade","Malinong","additional costs ($/ha)",4,0,NA,"guess","orange","orange","orange","green",458,25508
"Control","Unmodified","Monia_Gap","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",372,75032
"Rip+Spade none","Rip+Spade","Monia_Gap","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",372,75032
"Spade animal","Spade","Monia_Gap","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",372,75032
"Spade mixed","Spade","Monia_Gap","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",372,75032
"Spade non organic","Spade","Monia_Gap","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",372,75032
"Spade none","Spade","Monia_Gap","additional costs ($/ha)",4,0,NA,"guess","green","green","orange","orange",372,75032
"Control","Unmodified","Mt Damper","additional costs ($/ha)",4,0,NA,"guess","orange","green","orange","orange",327,18052
"IncRip fertiliser","IncRip","Mt Damper","additional costs ($/ha)",4,0,NA,"guess","orange","green","orange","orange",327,18052
"IncRip none","IncRip","Mt Damper","additional costs ($/ha)",4,0,NA,"guess","orange","green","orange","orange",327,18052
"IncRip+Spade none","IncRip+Spade","Mt Damper","additional costs ($/ha)",4,0,NA,"guess","orange","green","orange","orange",327,18052
"Spade none","Spade","Mt Damper","additional costs ($/ha)",4,0,NA,"guess","orange","green","orange","orange",327,18052
"Control","Unmodified","Murlong","additional costs ($/ha)",4,0,NA,"guess","red","green","red","red",331,18164
"Rip fertiliser","Rip","Murlong","additional costs ($/ha)",4,0,NA,"guess","red","green","red","red",331,18164
"Rip none","Rip","Murlong","additional costs ($/ha)",4,0,NA,"guess","red","green","red","red",331,18164
"Rip plant","Rip","Murlong","additional costs ($/ha)",4,0,NA,"guess","red","green","red","red",331,18164
"Spade fertiliser","Spade","Murlong","additional costs ($/ha)",4,0,NA,"guess","red","green","red","red",331,18164
"Spade none","Spade","Murlong","additional costs ($/ha)",4,0,NA,"guess","red","green","red","red",331,18164
"Spade plant","Spade","Murlong","additional costs ($/ha)",4,0,NA,"guess","red","green","red","red",331,18164
"Control","Unmodified","Ouyen_Placement","additional costs ($/ha)",4,0,NA,"guess",NA,NA,NA,NA,328,76047
"PreDrill fertiliser","PreDrill","Ouyen_Placement","additional costs ($/ha)",4,0,NA,"guess",NA,NA,NA,NA,328,76047
"PreDrill none","PreDrill","Ouyen_Placement","additional costs ($/ha)",4,0,NA,"guess",NA,NA,NA,NA,328,76047
"Rip fertiliser","Rip","Ouyen_Placement","additional costs ($/ha)",4,0,NA,"guess",NA,NA,NA,NA,328,76047
"Rip none","Rip","Ouyen_Placement","additional costs ($/ha)",4,0,NA,"guess",NA,NA,NA,NA,328,76047
"Unmodified none","Unmodified","Ouyen_Placement","additional costs ($/ha)",4,0,NA,"guess",NA,NA,NA,NA,328,76047
"Control","Unmodified","Ouyen_Spade","additional costs ($/ha)",4,0,NA,"guess","green","green","red","red",328,76047
"Spade animal","Spade","Ouyen_Spade","additional costs ($/ha)",4,0,NA,"guess","green","green","red","red",328,76047
"Spade fertiliser","Spade","Ouyen_Spade","additional costs ($/ha)",4,0,NA,"guess","green","green","red","red",328,76047
"Spade none","Spade","Ouyen_Spade","additional costs ($/ha)",4,0,NA,"guess","green","green","red","red",328,76047
